question,type,topic,answer
what causes difficulty breathing,disease,Difficulty Breathing,"Difficulty breathing (shortness of breath) can result from many causes, including asthma, a severe allergic reaction, infection, or a heart or lung condition, and it's not something to self-diagnose. Sudden or severe difficulty breathing, especially with chest pain or blue lips, is a medical emergency requiring immediate care."
what is dizziness,disease,Dizziness,"Dizziness is a general term for feeling unsteady, lightheaded, or like the room is spinning, and can be caused by dehydration, low blood sugar, inner ear issues, or standing up too quickly. Sitting or lying down usually helps mild cases, but frequent, severe, or sudden dizziness with other symptoms like chest pain needs medical evaluation."
tell me about dizziness,disease,Dizziness,"Dizziness is a general term for feeling unsteady, lightheaded, or like the room is spinning, and can be caused by dehydration, low blood sugar, inner ear issues, or standing up too quickly. Sitting or lying down usually helps mild cases, but frequent, severe, or sudden dizziness with other symptoms like chest pain needs medical evaluation."
what causes dizziness,disease,Dizziness,"Dizziness is a general term for feeling unsteady, lightheaded, or like the room is spinning, and can be caused by dehydration, low blood sugar, inner ear issues, or standing up too quickly. Sitting or lying down usually helps mild cases, but frequent, severe, or sudden dizziness with other symptoms like chest pain needs medical evaluation."
what to do for a dog bite,disease,Dog Bite,"A dog bite can cause puncture wounds or tears that carry a real risk of infection, even from a familiar dog. Clean the wound with water right away and see a doctor promptly, since it may need a tetanus shot, antibiotics, or a rabies risk assessment depending on the situation."
tell me about dog bites,disease,Dog Bite,"A dog bite can cause puncture wounds or tears that carry a real risk of infection, even from a familiar dog. Clean the wound with water right away and see a doctor promptly, since it may need a tetanus shot, antibiotics, or a rabies risk assessment depending on the situation."
what causes infection from dog bite,disease,Dog Bite,"A dog bite can cause puncture wounds or tears that carry a real risk of infection, even from a familiar dog. Clean the wound with water right away and see a doctor promptly, since it may need a tetanus shot, antibiotics, or a rabies risk assessment depending on the situation."
what is eye irritation,disease,Eye Irritation,"Eye irritation can result from dust, smoke, allergens, dryness, or a minor foreign object, causing redness, itching, or a gritty feeling. Rinsing with clean water and using lubricating eye drops usually helps, but pain, vision changes, or a foreign object stuck in the eye need prompt medical attention."
tell me about eye irritation,disease,Eye Irritation,"Eye irritation can result from dust, smoke, allergens, dryness, or a minor foreign object, causing redness, itching, or a gritty feeling. Rinsing with clean water and using lubricating eye drops usually helps, but pain, vision changes, or a foreign object stuck in the eye need prompt medical attention."
what causes eye irritation,disease,Eye Irritation,"Eye irritation can result from dust, smoke, allergens, dryness, or a minor foreign object, causing redness, itching, or a gritty feeling. Rinsing with clean water and using lubricating eye drops usually helps, but pain, vision changes, or a foreign object stuck in the eye need prompt medical attention."
what is fainting,disease,Fainting,"Fainting (syncope) is a brief loss of consciousness usually caused by a temporary drop in blood flow to the brain, often triggered by standing too long, dehydration, stress, or a sudden drop in blood pressure. Lying down and raising the legs usually helps recovery, but frequent or unexplained fainting needs medical evaluation."
tell me about fainting,disease,Fainting,"Fainting (syncope) is a brief loss of consciousness usually caused by a temporary drop in blood flow to the brain, often triggered by standing too long, dehydration, stress, or a sudden drop in blood pressure. Lying down and raising the legs usually helps recovery, but frequent or unexplained fainting needs medical evaluation."
what causes fainting,disease,Fainting,"Fainting (syncope) is a brief loss of consciousness usually caused by a temporary drop in blood flow to the brain, often triggered by standing too long, dehydration, stress, or a sudden drop in blood pressure. Lying down and raising the legs usually helps recovery, but frequent or unexplained fainting needs medical evaluation."
what is heat stroke,disease,Heat Stroke,"Heat stroke is a dangerous rise in body temperature caused by prolonged heat exposure, causing hot dry skin, confusion, rapid heartbeat, and sometimes loss of consciousness. It's a medical emergency - cool the person down immediately with water and call emergency services rather than waiting for it to pass."
tell me about heat stroke,disease,Heat Stroke,"Heat stroke is a dangerous rise in body temperature caused by prolonged heat exposure, causing hot dry skin, confusion, rapid heartbeat, and sometimes loss of consciousness. It's a medical emergency - cool the person down immediately with water and call emergency services rather than waiting for it to pass."
what causes heat stroke,disease,Heat Stroke,"Heat stroke is a dangerous rise in body temperature caused by prolonged heat exposure, causing hot dry skin, confusion, rapid heartbeat, and sometimes loss of consciousness. It's a medical emergency - cool the person down immediately with water and call emergency services rather than waiting for it to pass."
what is an insect bite,disease,Insect Bite,"An insect bite typically causes localized itching, redness, and mild swelling as the body reacts to the insect's saliva or venom. Most bites settle on their own with a cold compress and antihistamine, but widespread hives, facial swelling, or difficulty breathing can signal a serious allergic reaction needing emergency care."
tell me about insect bites,disease,Insect Bite,"An insect bite typically causes localized itching, redness, and mild swelling as the body reacts to the insect's saliva or venom. Most bites settle on their own with a cold compress and antihistamine, but widespread hives, facial swelling, or difficulty breathing can signal a serious allergic reaction needing emergency care."
what causes insect bites,disease,Insect Bite,"An insect bite typically causes localized itching, redness, and mild swelling as the body reacts to the insect's saliva or venom. Most bites settle on their own with a cold compress and antihistamine, but widespread hives, facial swelling, or difficulty breathing can signal a serious allergic reaction needing emergency care."
what is a muscle cramp,disease,Muscle Cramp,"A muscle cramp is a sudden, involuntary muscle contraction that causes brief but often intense pain, commonly triggered by dehydration, overexertion, or low electrolyte levels. Gently stretching and massaging the muscle usually relieves it, and staying hydrated helps prevent future cramps."
tell me about muscle cramps,disease,Muscle Cramp,"A muscle cramp is a sudden, involuntary muscle contraction that causes brief but often intense pain, commonly triggered by dehydration, overexertion, or low electrolyte levels. Gently stretching and massaging the muscle usually relieves it, and staying hydrated helps prevent future cramps."
what causes muscle cramps,disease,Muscle Cramp,"A muscle cramp is a sudden, involuntary muscle contraction that causes brief but often intense pain, commonly triggered by dehydration, overexertion, or low electrolyte levels. Gently stretching and massaging the muscle usually relieves it, and staying hydrated helps prevent future cramps."
what is a nosebleed,disease,Nosebleed,"A nosebleed happens when small blood vessels inside the nose break, often due to dry air, nose picking, colds, or minor injury. Pinching the soft part of the nose and leaning forward for 10-15 minutes stops most nosebleeds, with a doctor's visit needed if it won't stop or happens frequently."
tell me about nosebleeds,disease,Nosebleed,"A nosebleed happens when small blood vessels inside the nose break, often due to dry air, nose picking, colds, or minor injury. Pinching the soft part of the nose and leaning forward for 10-15 minutes stops most nosebleeds, with a doctor's visit needed if it won't stop or happens frequently."
what causes nosebleeds,disease,Nosebleed,"A nosebleed happens when small blood vessels inside the nose break, often due to dry air, nose picking, colds, or minor injury. Pinching the soft part of the nose and leaning forward for 10-15 minutes stops most nosebleeds, with a doctor's visit needed if it won't stop or happens frequently."
what is a skin rash,disease,Skin Rash,"A skin rash is a change in the skin's color, texture, or appearance, often causing redness, itching, or bumps, commonly triggered by allergies, irritants, heat, or infection. Mild rashes often improve with an antihistamine or soothing cream, but a rash that spreads fast, blisters, or comes with fever needs medical attention."
tell me about skin rashes,disease,Skin Rash,"A skin rash is a change in the skin's color, texture, or appearance, often causing redness, itching, or bumps, commonly triggered by allergies, irritants, heat, or infection. Mild rashes often improve with an antihistamine or soothing cream, but a rash that spreads fast, blisters, or comes with fever needs medical attention."
what causes skin rashes,disease,Skin Rash,"A skin rash is a change in the skin's color, texture, or appearance, often causing redness, itching, or bumps, commonly triggered by allergies, irritants, heat, or infection. Mild rashes often improve with an antihistamine or soothing cream, but a rash that spreads fast, blisters, or comes with fever needs medical attention."
what is a snake bite,disease,Snake Bite,"A snake bite can range from harmless to life-threatening depending on the species, and it's never safe to assume it's not venomous. Keep the person calm and still, keep the bite below heart level, and get to a hospital immediately for evaluation and possible antivenom - don't cut the wound or apply a tourniquet."
tell me about snake bites,disease,Snake Bite,"A snake bite can range from harmless to life-threatening depending on the species, and it's never safe to assume it's not venomous. Keep the person calm and still, keep the bite below heart level, and get to a hospital immediately for evaluation and possible antivenom - don't cut the wound or apply a tourniquet."
what to do for snake bite,disease,Snake Bite,"A snake bite can range from harmless to life-threatening depending on the species, and it's never safe to assume it's not venomous. Keep the person calm and still, keep the bite below heart level, and get to a hospital immediately for evaluation and possible antivenom - don't cut the wound or apply a tourniquet."
what is a sore throat,disease,Sore Throat,"A sore throat is pain, scratchiness, or irritation in the throat, usually caused by a viral infection like a cold, though it can also come from allergies or dry air. Most cases improve within a week with rest, warm fluids, and lozenges, but a doctor's visit is needed for high fever, white patches on the tonsils, or difficulty swallowing."
tell me about sore throat,disease,Sore Throat,"A sore throat is pain, scratchiness, or irritation in the throat, usually caused by a viral infection like a cold, though it can also come from allergies or dry air. Most cases improve within a week with rest, warm fluids, and lozenges, but a doctor's visit is needed for high fever, white patches on the tonsils, or difficulty swallowing."
what causes sore throat,disease,Sore Throat,"A sore throat is pain, scratchiness, or irritation in the throat, usually caused by a viral infection like a cold, though it can also come from allergies or dry air. Most cases improve within a week with rest, warm fluids, and lozenges, but a doctor's visit is needed for high fever, white patches on the tonsils, or difficulty swallowing."
what is a sprain,disease,Sprain,"A sprain is a stretched or torn ligament, most often in the ankle or wrist, usually from a sudden twist or impact, causing pain, swelling, and bruising. The R.I.C.E. method (Rest, Ice, Compression, Elevation) helps most sprains heal, but inability to bear weight or move the joint needs medical evaluation to rule out a fracture."
tell me about sprains,disease,Sprain,"A sprain is a stretched or torn ligament, most often in the ankle or wrist, usually from a sudden twist or impact, causing pain, swelling, and bruising. The R.I.C.E. method (Rest, Ice, Compression, Elevation) helps most sprains heal, but inability to bear weight or move the joint needs medical evaluation to rule out a fracture."
what causes a sprain,disease,Sprain,"A sprain is a stretched or torn ligament, most often in the ankle or wrist, usually from a sudden twist or impact, causing pain, swelling, and bruising. The R.I.C.E. method (Rest, Ice, Compression, Elevation) helps most sprains heal, but inability to bear weight or move the joint needs medical evaluation to rule out a fracture."
what is a toothache,disease,Toothache,"A toothache is pain in or around a tooth, often caused by decay, an infection, a cracked tooth, or gum disease. Pain relievers can manage discomfort temporarily, but a dentist visit is needed to treat the underlying cause, since the pain will typically return or worsen without proper treatment."
tell me about toothache,disease,Toothache,"A toothache is pain in or around a tooth, often caused by decay, an infection, a cracked tooth, or gum disease. Pain relievers can manage discomfort temporarily, but a dentist visit is needed to treat the underlying cause, since the pain will typically return or worsen without proper treatment."
what causes toothache,disease,Toothache,"A toothache is pain in or around a tooth, often caused by decay, an infection, a cracked tooth, or gum disease. Pain relievers can manage discomfort temporarily, but a dentist visit is needed to treat the underlying cause, since the pain will typically return or worsen without proper treatment."
what is vomiting,disease,Vomiting,"Vomiting is the body forcefully expelling stomach contents, often triggered by infection, food poisoning, motion sickness, or overeating. Small sips of water or ORS help prevent dehydration, and a doctor should be seen if vomiting is severe, persistent, or comes with blood or signs of dehydration."
tell me about vomiting,disease,Vomiting,"Vomiting is the body forcefully expelling stomach contents, often triggered by infection, food poisoning, motion sickness, or overeating. Small sips of water or ORS help prevent dehydration, and a doctor should be seen if vomiting is severe, persistent, or comes with blood or signs of dehydration."
what causes vomiting,disease,Vomiting,"Vomiting is the body forcefully expelling stomach contents, often triggered by infection, food poisoning, motion sickness, or overeating. Small sips of water or ORS help prevent dehydration, and a doctor should be seen if vomiting is severe, persistent, or comes with blood or signs of dehydration."
what is back pain,disease,Back Pain,"Back pain is discomfort anywhere along the spine, commonly caused by muscle strain, poor posture, or lifting incorrectly, though it can also come from an underlying spinal or nerve issue. Most cases improve with rest, gentle movement, and pain relief, but pain that's severe, follows an injury, or comes with numbness or weakness in the legs needs medical evaluation."
tell me about back pain,disease,Back Pain,"Back pain is discomfort anywhere along the spine, commonly caused by muscle strain, poor posture, or lifting incorrectly, though it can also come from an underlying spinal or nerve issue. Most cases improve with rest, gentle movement, and pain relief, but pain that's severe, follows an injury, or comes with numbness or weakness in the legs needs medical evaluation."
what causes back pain,disease,Back Pain,"Back pain is discomfort anywhere along the spine, commonly caused by muscle strain, poor posture, or lifting incorrectly, though it can also come from an underlying spinal or nerve issue. Most cases improve with rest, gentle movement, and pain relief, but pain that's severe, follows an injury, or comes with numbness or weakness in the legs needs medical evaluation."
what is chest pain,disease,Chest Pain,"Chest pain has many possible causes, ranging from mild ones like muscle strain or acid reflux to serious ones like a heart attack or blood clot in the lung, and it should never be self-diagnosed. Sudden, severe chest pain, or pain with shortness of breath, sweating, or pain spreading to the arm or jaw, is a medical emergency - call your local emergency number immediately."
tell me about chest pain,disease,Chest Pain,"Chest pain has many possible causes, ranging from mild ones like muscle strain or acid reflux to serious ones like a heart attack or blood clot in the lung, and it should never be self-diagnosed. Sudden, severe chest pain, or pain with shortness of breath, sweating, or pain spreading to the arm or jaw, is a medical emergency - call your local emergency number immediately."
what causes chest pain,disease,Chest Pain,"Chest pain has many possible causes, ranging from mild ones like muscle strain or acid reflux to serious ones like a heart attack or blood clot in the lung, and it should never be self-diagnosed. Sudden, severe chest pain, or pain with shortness of breath, sweating, or pain spreading to the arm or jaw, is a medical emergency - call your local emergency number immediately."
what is a common cold,disease,Common Cold,"The common cold is a mild viral infection of the nose and throat, causing a runny or blocked nose, sneezing, sore throat, and mild fatigue, usually clearing up within a week to ten days. It's managed with rest, fluids, and symptom relief like paracetamol or a decongestant, since antibiotics don't work against it."
tell me about the common cold,disease,Common Cold,"The common cold is a mild viral infection of the nose and throat, causing a runny or blocked nose, sneezing, sore throat, and mild fatigue, usually clearing up within a week to ten days. It's managed with rest, fluids, and symptom relief like paracetamol or a decongestant, since antibiotics don't work against it."
what causes the common cold,disease,Common Cold,"The common cold is a mild viral infection of the nose and throat, causing a runny or blocked nose, sneezing, sore throat, and mild fatigue, usually clearing up within a week to ten days. It's managed with rest, fluids, and symptom relief like paracetamol or a decongestant, since antibiotics don't work against it."
what is a cough,disease,Cough,"A cough is the body's reflex to clear the airways of irritants, mucus, or foreign particles, and can be dry (no mucus) or productive (bringing up mucus). Most coughs from a cold or minor irritation clear up within a couple of weeks, but a cough lasting longer, or one with fever, chest pain, or blood, needs medical evaluation."
tell me about coughing,disease,Cough,"A cough is the body's reflex to clear the airways of irritants, mucus, or foreign particles, and can be dry (no mucus) or productive (bringing up mucus). Most coughs from a cold or minor irritation clear up within a couple of weeks, but a cough lasting longer, or one with fever, chest pain, or blood, needs medical evaluation."
what causes a cough,disease,Cough,"A cough is the body's reflex to clear the airways of irritants, mucus, or foreign particles, and can be dry (no mucus) or productive (bringing up mucus). Most coughs from a cold or minor irritation clear up within a couple of weeks, but a cough lasting longer, or one with fever, chest pain, or blood, needs medical evaluation."
what is ear pain,disease,Ear Pain,"Ear pain is often caused by an ear infection, fluid buildup, earwax blockage, or referred pain from the jaw or throat. Mild pain can be managed with a pain reliever and a warm compress, but fever, discharge from the ear, or hearing loss need a doctor's evaluation, since some causes need antibiotics or ear drops."
tell me about ear pain,disease,Ear Pain,"Ear pain is often caused by an ear infection, fluid buildup, earwax blockage, or referred pain from the jaw or throat. Mild pain can be managed with a pain reliever and a warm compress, but fever, discharge from the ear, or hearing loss need a doctor's evaluation, since some causes need antibiotics or ear drops."
what causes ear pain,disease,Ear Pain,"Ear pain is often caused by an ear infection, fluid buildup, earwax blockage, or referred pain from the jaw or throat. Mild pain can be managed with a pain reliever and a warm compress, but fever, discharge from the ear, or hearing loss need a doctor's evaluation, since some causes need antibiotics or ear drops."
